entity,logs_listed,string_matches,logs_w_author,top_author,top_author_share,n_distinct_authors,proposed_player_dbref,confidence,relationship
C4,1,17,0,,0,0,,none,no_author_signal
Staus,1,17,1,Barrien Thrask,1.0,1,,med,ext_uploader:Barrien Thrask
Cirah,1,17,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Dyrna,1,17,1,Shenneret Veery,1.0,1,,med,ext_uploader:Shenneret Veery
Chef,1,16,0,,0,0,,none,no_author_signal
Tantra,1,16,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Sean,1,16,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Claven,1,16,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Bronwyn,1,16,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Chapman,1,16,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Coleman,1,16,1,Drax Rendolen,1.0,1,4373,med,ext_uploader:Drax Rendolen
SH0RTY,1,16,1,Gren Delede,1.0,1,,med,ext_uploader:Gren Delede
Barnacle Bill,1,15,1,Billious Qarrack,1.0,1,,med,ext_uploader:Billious Qarrack
Jali,1,15,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Hoolihan,1,15,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Siege,1,14,1,Cato,1.0,1,,med,ext_uploader:Cato
Bochek,1,14,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Coxswain,1,14,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Sulla,1,14,1,Adam Shadow,1.0,1,11813,med,ext_uploader:Adam Shadow
Ment,1,13,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Landis,1,13,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Comdore,1,13,1,Raxis L'ygr,1.0,1,,med,ext_uploader:Raxis L'ygr
Haihai,1,13,1,Chanera Ruai Thorn,1.0,1,,med,ext_uploader:Chanera Ruai Thorn
Balak,1,13,1,Kyrin Sh'vani,1.0,1,9395,med,ext_uploader:Kyrin Sh'vani
Leate,1,13,1,Geophreigh Smitherbodkins IV,1.0,1,,med,ext_uploader:Geophreigh Smitherbodkins IV
Collier,1,13,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Naria,1,13,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Rogen,1,13,1,Tyy'sun Eson,1.0,1,3655,med,ext_uploader:Tyy'sun Eson
Gienah,1,13,1,Alex Dante,1.0,1,,med,ext_uploader:Alex Dante
Commander Calder,1,13,1,Shenneret Veery,1.0,1,,med,ext_uploader:Shenneret Veery
Moira,1,12,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Dracon,1,12,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Razi,1,12,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Rahvin,1,12,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Coda,1,12,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Denyse,1,12,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Sayla'kor,1,12,1,Billious Qarrack,1.0,1,,med,ext_uploader:Billious Qarrack
Yinda,1,12,1,Ambrosia Delgard,1.0,1,4866,med,ext_uploader:Ambrosia Delgard
Brain,1,12,1,Simon Sezirok,1.0,1,7077,med,puppet_of:Simon Sezirok
Rake,1,12,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Tegger,1,12,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Kryan,1,12,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Poot,1,12,1,Geophreigh Smitherbodkins IV,1.0,1,,med,ext_uploader:Geophreigh Smitherbodkins IV
Cherish,1,11,1,Zubindi Hakoon,1.0,1,4715,med,puppet_of:Zubindi Hakoon
Monntok,1,11,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Skrit,1,11,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Spencer,1,11,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Adler,1,11,1,Ambrosia Delgard,1.0,1,4866,med,ext_uploader:Ambrosia Delgard
Tathleach,1,11,0,,0,0,,none,no_author_signal
Mari,1,11,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Chongatakiee,1,11,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Ernie Pallando,1,11,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Zergo,1,10,1,Zergo,1.0,1,,med,self(player)
Aleh,1,10,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Mekeal,1,10,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Handon,1,10,1,Krieg Inrokana,1.0,1,3692,med,ext_uploader:Krieg Inrokana
Zeebok,1,10,1,Jaspar Andromidas,1.0,1,4049,med,ext_uploader:Jaspar Andromidas
Shem,1,10,1,Zergo,1.0,1,,med,ext_uploader:Zergo
Tholt,1,10,1,Leia Organa Solo,1.0,1,3147,med,ext_uploader:Leia Organa Solo
Ambar,1,10,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Halloway,1,10,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Krozit,1,10,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Jocal,1,10,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Lokiru,1,9,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Colonel Desson,1,9,1,Korynn Fleming,1.0,1,11044,med,ext_uploader:Korynn Fleming
Dydron,1,9,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Dayna,1,9,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Stelita,1,9,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Perem,1,9,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Kieran,1,9,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Gunter,1,9,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Morganth,1,9,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Trrs'kal,1,9,1,Elias Corentin,1.0,1,1334,med,ext_uploader:Elias Corentin
Lavrish'lin,1,9,1,67.184.5.213,1.0,1,,med,ext_uploader:67.184.5.213
Sha-Cha Cha,1,9,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Stanley,1,8,1,Sabrina Rheatis,1.0,1,8223,med,ext_uploader:Sabrina Rheatis
Jenkins,1,8,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Nurse Gwen,1,8,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Rawkrawr,1,8,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Terral,1,8,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Nol'Fet,1,8,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Darkholme,1,8,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Tycho,1,8,1,Seifer Wolf,1.0,1,,med,ext_uploader:Seifer Wolf
Unnh,1,8,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Glitter,1,7,1,Geophreigh Smitherbodkins IV,1.0,1,,med,ext_uploader:Geophreigh Smitherbodkins IV
Sia Cia,1,7,1,Malus,1.0,1,10062,med,ext_uploader:Malus
T3-A7,1,7,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Mysti,1,7,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Mevid,1,7,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Xianna,1,7,1,Tyy'sun Eson,1.0,1,3655,med,ext_uploader:Tyy'sun Eson
Grunax,1,7,1,Jal'Dana Rall,1.0,1,8802,med,ext_uploader:Jal'Dana Rall
Sev,1,7,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Giles Pendleton,1,7,1,Geophreigh Smitherbodkins IV,1.0,1,,med,ext_uploader:Geophreigh Smitherbodkins IV
cadracak-'r'shak,1,7,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Ramsey,1,7,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Gorath,1,7,1,Zrak'Hroun,1.0,1,,med,ext_uploader:Zrak'Hroun
Thralo,1,7,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Sharid,1,7,1,Lynae Cassius-Caiton,1.0,1,9311,med,ext_uploader:Lynae Cassius-Caiton
Hinrich,1,6,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Boo-T,1,6,1,Geophreigh Smitherbodkins IV,1.0,1,,med,ext_uploader:Geophreigh Smitherbodkins IV
L3-ET,1,6,1,Tyler Damion,1.0,1,3751,med,ext_uploader:Tyler Damion
Keeros,1,6,1,Krieg Inrokana,1.0,1,3692,med,ext_uploader:Krieg Inrokana
Wiyaana,1,6,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Alexin,1,6,0,,0,0,,none,no_author_signal
Tanith,1,6,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Co'Libri,1,6,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Quarren Ambassador,1,6,1,Korynn Fleming,1.0,1,11044,med,ext_uploader:Korynn Fleming
Corliss,1,6,1,Aldus Thel,1.0,1,,med,ext_uploader:Aldus Thel
ST-2034,1,6,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Slash,1,6,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
TK-2503,1,6,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
TK-4792,1,6,1,Korynn Fleming,1.0,1,11044,med,ext_uploader:Korynn Fleming
Cerdle,1,6,0,,0,0,,none,no_author_signal
Dariza Ipex,1,6,0,,0,0,,none,no_author_signal
Juan,1,6,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Rhiannon,1,6,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Jager,1,6,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Viszla,1,6,1,Darth Vidious,1.0,1,,med,ext_uploader:Darth Vidious
Ta-Nui-Bonda,1,6,1,Jal'Dana Rall,1.0,1,8802,med,ext_uploader:Jal'Dana Rall
Eeth Mentel,1,5,1,Korynn Fleming,1.0,1,11044,med,ext_uploader:Korynn Fleming
Yellowtail,1,5,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Attibecca,1,5,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Tibor Stasio,1,5,1,?,1.0,1,,med,ext_uploader:?
Katala,1,5,0,,0,0,,none,no_author_signal
Sernz,1,5,1,Wrexan,1.0,1,12032,med,ext_uploader:Wrexan
Szaric,1,5,1,Tyy'sun Eson,1.0,1,3655,med,ext_uploader:Tyy'sun Eson
Emmit,1,5,1,Ambrosia Delgard,1.0,1,4866,med,ext_uploader:Ambrosia Delgard
Tredo,1,5,1,Rixt,1.0,1,286,med,ext_uploader:Rixt
Loor,1,5,1,Sabrina Rheatis,1.0,1,8223,med,ext_uploader:Sabrina Rheatis
Nat Pagle,1,5,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Hora,1,5,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Naqua,1,5,1,Geophreigh Smitherbodkins IV,1.0,1,,med,ext_uploader:Geophreigh Smitherbodkins IV
Grubba the Hutt,1,5,1,Antoine Dareus,1.0,1,,med,ext_uploader:Antoine Dareus
Daxin,1,5,1,Shenneret Veery,1.0,1,,med,ext_uploader:Shenneret Veery
ST-9042,1,5,1,Luke Skywalker,1.0,1,2043,med,ext_uploader:Luke Skywalker
Aido Or,1,5,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Rika,1,5,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Ambry,1,5,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Captain Durjan,1,5,1,Tokoga,1.0,1,8189,med,ext_uploader:Tokoga
Comwiz,1,4,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Ver-Tak Kai,1,4,1,Rasi Praddhan Cen,1.0,1,1050,med,ext_uploader:Rasi Praddhan Cen
Elly,1,4,1,Shenneret Veery,1.0,1,,med,ext_uploader:Shenneret Veery
Takajin,1,4,1,Barrien Thrask,1.0,1,,med,ext_uploader:Barrien Thrask
Valen,1,4,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Madixli,1,4,1,Bailey Sora Laran,1.0,1,2793,med,ext_uploader:Bailey Sora Laran
Amelia Hawthorne,1,4,1,Amelia Hawthorne,1.0,1,,med,self(player)
Resniz,1,4,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Alex Raven,1,4,1,Kyrin Sh'vani,1.0,1,9395,med,ext_uploader:Kyrin Sh'vani
Casul Nettic,1,4,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Marrell Thelin,1,4,1,Kyrin Sh'vani,1.0,1,9395,med,ext_uploader:Kyrin Sh'vani
Tequa,1,4,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Dagger 3,1,4,1,Jonas,1.0,1,11782,med,puppet_of:Jonas
Jayla Burano,1,4,0,,0,0,,none,no_author_signal
Bastirio,1,4,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Karn,1,4,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Chaboub,1,4,1,Lemos Ackinbrac,1.0,1,,med,ext_uploader:Lemos Ackinbrac
Timo Droja,1,4,1,Dreven Mercurio,1.0,1,1145,med,ext_uploader:Dreven Mercurio
Uliq,1,4,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Zerae,1,4,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Captain Lofte,1,3,1,Rasi Praddhan Cen,1.0,1,1050,med,ext_uploader:Rasi Praddhan Cen
Lon Cotaar,1,3,1,Shenneret Veery,1.0,1,,med,ext_uploader:Shenneret Veery
Vek Eldar,1,3,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Jak McCulloch,1,3,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Goruk,1,3,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Tarrin Stardiver,1,3,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Bil Faan,1,3,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Kines,1,3,0,,0,0,,none,no_author_signal
Whitney Pallando,1,3,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Da'Shi,1,3,1,Morganna Tazecks,1.0,1,,med,ext_uploader:Morganna Tazecks
Nooto,1,3,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Bias,1,3,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Songir Fentrus,1,3,1,Sorin,1.0,1,11998,med,ext_uploader:Sorin
Barvareedee,1,3,1,Jared Starwind,1.0,1,9707,med,ext_uploader:Jared Starwind
Unb'tar,1,3,1,Antoine Dareus,1.0,1,,med,ext_uploader:Antoine Dareus
Demetria,1,3,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Terin,1,3,1,Seifer Wolf,1.0,1,,med,ext_uploader:Seifer Wolf
Glory Lockhart,1,3,1,Geophreigh Smitherbodkins IV,1.0,1,,med,ext_uploader:Geophreigh Smitherbodkins IV
Dandoi,1,3,1,Gren Delede,1.0,1,,med,ext_uploader:Gren Delede
Montgomery,1,3,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Trett Hilo,1,3,1,Johanna Siri te Danaan,1.0,1,9407,med,ext_uploader:Johanna Siri te Danaan
Motwa Torra,1,3,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Kola,1,3,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Sigil Rexton,1,3,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Lyshi,1,3,1,Geophreigh Smitherbodkins IV,1.0,1,,med,ext_uploader:Geophreigh Smitherbodkins IV
Obi-Wan Kenobi,1,3,1,Bec Ga'lec,1.0,1,5228,med,ext_uploader:Bec Ga'lec
Bossil Perlee,1,3,1,Korynn Fleming,1.0,1,11044,med,ext_uploader:Korynn Fleming
Deyal Huxlo,1,3,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Dyne Haederfeld,1,3,1,Athena,1.0,1,7787,med,ext_uploader:Athena
Senator Hastell,1,3,0,,0,0,,none,no_author_signal
Dean ak,1,3,1,Zubindi Hakoon,1.0,1,4715,med,ext_uploader:Zubindi Hakoon
Kenji,1,3,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Daniels,1,3,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Milo Sienar,1,3,1,Krysten Carlyle,1.0,1,653,med,ext_uploader:Krysten Carlyle
Semtech Keno,1,2,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
TK-2502,1,2,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Felipe del Montefort,1,2,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Hsskah Agileclaw,1,2,1,Elana Tracer,1.0,1,,med,ext_uploader:Elana Tracer
Ebon Zyar,1,2,1,Korynn Fleming,1.0,1,11044,med,ext_uploader:Korynn Fleming
Jenya Vala,1,2,1,Collaborative,1.0,1,,med,ext_uploader:Collaborative
Alstuner,1,2,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Stefan,1,2,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Athahk,1,2,1,Morganna Tazecks,1.0,1,,med,puppet_of:Morganna Tazecks
Tacuba the Hutt,1,2,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Tyrus Valtoor,1,2,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Captain Cunha,1,2,1,Lynae Cassius,1.0,1,9311,med,ext_uploader:Lynae Cassius
G.S. Qwynt VIII,1,2,1,Geophreigh Smitherbodkins IV,1.0,1,,med,ext_uploader:Geophreigh Smitherbodkins IV
Kinsa'una,1,2,1,Axel Vichten,1.0,1,9768,med,ext_uploader:Axel Vichten
K3P0,1,2,1,Johanna Siri te Danaan,1.0,1,9407,med,ext_uploader:Johanna Siri te Danaan
Replicant,1,2,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Woren Isaal,1,2,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Merreck Pelx,1,2,1,Jared Starwind,1.0,1,9707,med,ext_uploader:Jared Starwind
Kath Samba,1,2,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Fianar Reanus,1,2,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Senator Ahudeek,1,2,0,,0,0,,none,no_author_signal
Thabo Mbeki,1,2,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Ariana Seri,1,2,1,Lynae Cassius,1.0,1,9311,med,ext_uploader:Lynae Cassius
Teag Barrett,1,2,1,Ambrosia Delgard,1.0,1,4866,med,ext_uploader:Ambrosia Delgard
Edgar Krac'zah,1,2,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Braal Vey'la,1,2,1,Leia Organa Solo,1.0,1,3147,med,ext_uploader:Leia Organa Solo
Ginger,1,2,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Prudence Barry,1,2,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Josh Arands,1,2,1,Bazil McKenzie,1.0,1,9199,med,ext_uploader:Bazil McKenzie
Domicor Honos,1,2,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Sato,1,2,1,Sabrina Rheatis,1.0,1,8223,med,ext_uploader:Sabrina Rheatis
Aeron Corvus,1,2,1,Crestian Tarasar,1.0,1,5921,med,ext_uploader:Crestian Tarasar
Giran Blaine,1,2,1,Danik Kreldin,1.0,1,8061,med,ext_uploader:Danik Kreldin
Zig Al Fidel,1,2,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Shandra Fleming,1,2,1,Korynn Fleming,1.0,1,11044,med,ext_uploader:Korynn Fleming
Admiral Bejin,1,2,1,Vextin Mandor,1.0,1,,med,ext_uploader:Vextin Mandor
Shas Krutz,1,2,1,Gren Delede,1.0,1,,med,ext_uploader:Gren Delede
Ander Dar,1,2,1,Antoine Dareus,1.0,1,,med,ext_uploader:Antoine Dareus
Lyle Derfill,1,2,1,Tyy'sun Eson,1.0,1,3655,med,ext_uploader:Tyy'sun Eson
Kyyrruk,1,2,0,,0,0,,none,no_author_signal
Kiri Valios,1,2,1,Elana Tracer,1.0,1,,med,ext_uploader:Elana Tracer
Laurence Dante,1,2,1,Sabrina Rheatis,1.0,1,8223,med,ext_uploader:Sabrina Rheatis
